,Acronym,Label,doc_present,rdf_present,Phrase
602,PQDR,acronym,False,True,
603,PSI,acronym,False,True,
604,PLT,acronym,False,True,
605,PDSSR,acronym,False,True,
606,PEO,acronym,False,True,
607,PAD,acronym,False,True,
608,PCC,acronym,False,True,
609,PCCN,acronym,False,True,
610,PCC/ISN,acronym,False,True,
611,PCC/ISN/DOR,acronym,False,True,
612,PTD,acronym,False,True,
613,PMO,acronym,False,True,
614,PL,acronym,False,True,
615,PUB,acronym,False,True,
616,PR,acronym,False,True,
617,QRP,acronym,False,True,
618,QSL,acronym,False,True,
619,Q,acronym,False,True,
620,RCHSA,acronym,False,True,
621,RF,acronym,False,True,
622,RFID,acronym,False,True,
623,RF-ITV,acronym,False,True,
624,RADCON,acronym,False,True,
626,ROM,acronym,False,True,
627,RBS,acronym,False,True,
628,RFI,acronym,False,True,
629,RSC,acronym,False,True,
630,RCP,acronym,False,True,
631,RNCC,acronym,False,True,
632,RNJC,acronym,False,True,
633,RNVC,acronym,False,True,
634,ROP,acronym,False,True,
635,RCL,acronym,False,True,
638,RRMS,acronym,False,True,
640,RCRA,acronym,False,True,
641,RM,acronym,False,True,
642,RPO,acronym,False,True,
643,RTM,acronym,False,True,
644,RBI,acronym,False,True,
645,RTD,acronym,False,True,
646,RTDS,acronym,False,True,
647,RTS,acronym,False,True,
648,RI,acronym,False,True,
649,SALD,acronym,False,True,
650,SL,acronym,False,True,
651,SCO,acronym,False,True,
652,SCL,acronym,False,True,
653,SICA,acronym,False,True,
654,SIPRNET,acronym,False,True,
655,SECNAVINST,acronym,False,True,
657,SROTC,acronym,False,True,
658,SNT,acronym,False,True,
659,SIM,acronym,False,True,
660,SAE,acronym,False,True,
661,SVC,acronym,False,True,
662,SEA,acronym,False,True,
663,SLES,acronym,False,True,
664,SPCCINST,acronym,False,True,
665,STOL,acronym,False,True,
666,SI,acronym,False,True,
667,SIOP,acronym,False,True,
668,SMCA,acronym,False,True,
669,SITREP,acronym,False,True,
671,SA/LW,acronym,False,True,
672,SA/LWSP,acronym,False,True,
673,SLGR,acronym,False,True,
675,STLC,acronym,False,True,
677,SHC,acronym,False,True,
678,SMIC,acronym,False,True,
680,SO-P,acronym,False,True,
681,SPR,acronym,False,True,
682,STE,acronym,False,True,
683,ST/STE,acronym,False,True,
684,SWOP,acronym,False,True,
685,SY,acronym,False,True,
687,SAGR,acronym,False,True,
688,STD,acronym,False,True,
689,SF,acronym,False,True,
690,SAISCN,acronym,False,True,
691,SIASCN,acronym,False,True,
692,SASP,acronym,False,True,
693,SOFA,acronym,False,True,
694,SDP,acronym,False,True,
695,ST,acronym,False,True,
696,SME,acronym,False,True,
697,SS,acronym,False,True,
698,SPTD,acronym,False,True,
700,SCOR,acronym,False,True,
701,SCRM,acronym,False,True,
702,SCC,acronym,False,True,
703,SDR,acronym,False,True,
704,SSR,acronym,False,True,
705,SSIR,acronym,False,True,
706,SPOT,acronym,False,True,
707,SEP,acronym,False,True,
708,TB,acronym,False,True,
709,TDJC,acronym,False,True,
710,TEDA,acronym,False,True,
711,TM,acronym,False,True,
712,TO,acronym,False,True,
713,TP,acronym,False,True,
714,TRC,acronym,False,True,
715,TTIE,acronym,False,True,
717,TLA,acronym,False,True,
718,TSOC,acronym,False,True,
719,TH,acronym,False,True,
720,TPFDD,acronym,False,True,
721,TCTO,acronym,False,True,
723,TS,acronym,False,True,
724,TIR,acronym,False,True,
725,TMR,acronym,False,True,
726,TOC,acronym,False,True,
727,TSDF,acronym,False,True,
728,TSCA,acronym,False,True,
729,TCLP,acronym,False,True,
730,TSC,acronym,False,True,
731,TA,acronym,False,True,
732,TCN,acronym,False,True,
733,TWCF,acronym,False,True,
734,TWT,acronym,False,True,
735,TOW,acronym,False,True,
736,TOCC,acronym,False,True,
737,UV,acronym,False,True,
738,USD,acronym,False,True,
739,USD(AT),acronym,False,True,
740,USD(R),acronym,False,True,
741,UST,acronym,False,True,
742,UXO,acronym,False,True,
743,UFC,acronym,False,True,
746,URL,acronym,False,True,
747,UID,acronym,False,True,
748,UII,acronym,False,True,
749,UIT,acronym,False,True,
750,UI,acronym,False,True,
751,U/P,acronym,False,True,
753,U.S.,acronym,False,True,
754,USAF,acronym,False,True,
755,USAFE,acronym,False,True,
756,USA,acronym,False,True,
757,USACHPPM,acronym,False,True,
758,CECOM,acronym,False,True,
759,ERDEC,acronym,False,True,
760,USAISC,acronym,False,True,
761,AMSAC,acronym,False,True,
762,TACOM LCMC,acronym,False,True,
764,U.S.C.,acronym,False,True,
766,USEPA,acronym,False,True,
767,USG,acronym,False,True,
768,USMC,acronym,False,True,
770,USN,acronym,False,True,
771,NORTHCOM,acronym,False,True,
772,USPS,acronym,False,True,
773,USP,acronym,False,True,
774,SOCOM,acronym,False,True,
775,USSOCOM,acronym,False,True,
776,USTRANSCOM,acronym,False,True,
777,UPC,acronym,False,True,
778,UW,acronym,False,True,
780,UDMH,acronym,False,True,
781,UND,acronym,False,True,
782,USAPHC,acronym,False,True,
783,VIN,acronym,False,True,
784,VTOL,acronym,False,True,
785,VOC,acronym,False,True,
786,WRAMC,acronym,False,True,
787,WR-ALC,acronym,False,True,
788,WSDC,acronym,False,True,
789,WSSP,acronym,False,True,
790,WLANS,acronym,False,True,
791,WCF,acronym,False,True,
792,WWX,acronym,False,True,
793,WPAFB,acronym,False,True,
794,YMCA,acronym,False,True,
795,ZIP,acronym,False,True,
796,ZI,acronym,False,True,
797,POC,,True,True,point of contact
798,LOSSAR,,True,False,at RRMC.
799,AI,,True,True,administrative instruction
800,WHS,,True,False,Washington Headquarters Services
801,DCMO,,True,False,Deputy Chief Management Officer
802,DoD,,True,True,Department of Defense
803,GIG,,True,True,Global Information Grid
804,AD,,True,True,ASSISTANT DIRECTOR
805,TMO,,True,False,Telework Managing Officer
806,OPM,,True,False,of Personnel Management
807,GFE,,True,False,government furnished equipment
808,PII,,True,True,personally identifiable information
809,CUI,,True,False,controlled unclassified information
810,FOUO,,True,True,For Official Use Only
811,LMS,,True,False,Learning Management System
812,CIO,,True,True,Chief Information Officer
813,NSA,,True,True,NATO SECRET ATOMAL
814,NCA,,True,True,NATO CONFID ATOMAL
815,CTS,,True,False,COSMIC TOP SECRET
816,MC,,True,False,military characteristics
817,FY,,True,True,fiscal year
818,A,,True,False,AS
819,CCSA,,True,False,Combatant Command support aircraft
820,NISP,,True,False,National Industrial Security Program
821,HA,,True,False,AS
822,SAR,,True,False,synthetic aperture radar
823,DSCA,,True,True,Defense Security Cooperation Agency
824,LA,,True,False,AS
825,HLD,,True,False,high level decision
826,RA,,True,True,Readiness AS
827,UCMJ,,True,True,Uniform Code of Military Justice
828,BSR,,True,False,Base Structure Report
829,MWR,,True,True,"Morale, Welfare, and Recreation"
830,QOL,,True,False,quality of life
831,WFS,,True,False,WARFIGHTER AND FAMILY SERVICES
832,FMR,,True,True,Financial Management Regulations
833,SAC,,True,False,School Age Care
834,JER,,True,False,Joint Ethics Regulation
835,MEO,,True,True,Military Equal Opportunity
836,AFRTS,,True,False,American Forces Radio and Television Service
837,SES,,True,False,Senior Executive Service
838,ECECS,,True,False,executive control and essential command supervision
839,PCS,,True,True,Permanent Change of Station
840,NIBD,,True,False,net income before depreciation
841,NIAD,,True,False,net income after depreciation
842,AOR,,True,True,areas of responsibility
843,ILR,,True,False,Interagency Language Roundtable
844,AR,,True,True,Readiness
845,IRR,,True,False,Individual Ready Reserve
846,RC,,True,False,Reserve Components
847,IADT,,True,False,initial active duty training
848,DRRS,,True,False,Defense Readiness Reporting System
849,AC,,True,True,Active Components
850,SDOB,,True,False,Secretary of Defense Orders Book
851,JMM,,True,False,Joint Mobilization Meeting
852,GFMAP,,True,False,Global Force Management Allocation Plan
853,IRS,,True,False,Internal Revenue Service
854,NJP,,True,False,Non Judicial Punishment
855,DEP,,True,False,Delayed Entry Program
856,DAT,,True,False,drug and alcohol test
857,NPS,,True,False,Non Prior Service
858,MPA,,True,True,Military Personnel Account
859,MP,,True,False,Military Personnel
860,PS,,True,False,Prior Service
861,HSDG,,True,False,High School Diploma Graduates
862,MPM,,True,True,Military Performance Metrics
863,GED,,True,False,General Educational Development
864,MSR,,True,False,Mandatory Supervised Release
865,TAP,,True,False,Transition Assistance Program
866,SLA,,True,False,special leave accrual
867,SLB,,True,False,Saved Leave Balance
868,COT,,True,False,consecutive overseas tour
869,EML,,True,False,Environmental Morale Leave
870,FEML,,True,False,Funded Environmental Morale Leave
871,HFP,,True,False,Hostile Fire Pay
872,AIP,,True,False,assignment incentive pay
873,DEERS,,True,False,Defense Enrollment Eligibility Reporting System
874,R,,True,True,Reading
875,S,,True,True,Speaking
876,PTA,,True,False,parent teacher association
877,PTO,,True,False,parent teacher organization
878,RSO,,True,False,Regional Security Officer
879,DHS,,True,False,Department of Homeland Security
880,CFR,,True,True,Code of Federal Regulations
881,EAR,,True,True,Export Administration Regulations
882,USML,,True,True,United States Munitions List
883,CAI,,True,False,critical application item
884,CII,,True,True,critical inventory item
885,CSI,,True,False,critical safety items
886,FAC,,True,False,Facility Analysis Category
887,UAV,,True,True,Unmanned Aerial Vehicle
888,DERP,,True,False,Defense Environmental Restoration Program
889,IRM,,True,False,Interim Risk Management
890,BRAC,,True,True,Base Realignment and Closure
891,EPA,,True,True,Environmental Protection Agency
892,ESOH,,True,False,"Environment, Safety, and Occupational Health"
893,DSMOA,,True,False,Defense and State Memorandum of Agreement
894,ATSDR,,True,False,Agency for Toxic Substances and Disease Registry
895,TPS,,True,False,third party site
896,IRP,,True,False,Installation Restoration Program
897,MMRP,,True,False,Military Munitions Response Program
898,TAPP,,True,False,Technical Assistance for Public Participation
899,ICO,,True,False,installation commanding officer
900,DEW,,True,False,directed energy weapons
901,GPS,,True,True,Global Positioning System
902,VHF,,True,False,very high frequency
903,USCG,,True,True,United States Coast Guard
904,PSA,,True,True,public service announcement
905,DTH,,True,False,direct to home
906,GTCC,,True,False,Government Travel Charge Card
907,IT,,True,True,information technology
908,PACS,,True,False,physical access control system
909,NCR,,True,False,National Capital Region
910,NFE,,True,False,non federal entity
911,HMPDS,,True,False,Health Manpower and Personnel Data System
912,DFAS,,True,True,DEFENSE FINANCE AND ACCOUNTING SERVICE
913,MTAS,,True,False,MINIMUM TERM OF ACTIVE SERVICE
914,AB,,True,True,Accession Bonus
915,MSO,,True,False,Military Service Obligation
916,MQA,,True,False,Medical Quality Assurance
